word,part_of_speech,chinese_meaning,english_definition,example_sentence,synonyms,antonyms,memory_hint,difficulty_level,frequency_level,source_book_chapter
benefactor,n.,行善者、捐助者,"person who gives money or other help to a school, hospital, charity, etc","With the help of a rich benefactor, he set up a charity. 在一個有錢的捐助者幫助下，他設置了慈善機構",,,bene(好) + fact(做) + or,5,5,"Mason 2000 PDF page 10 / 字根 ben, bene 好 / 提示 benefit 好處"
beneficent,adj.,慈善的、仁愛的；有益的,showing active kindness; generous; charitable,beneficent 慈善的 attitudes toward strangers,,,bene(好) + fic(做) + ent,3,3,"Mason 2000 PDF page 10 / 字根 ben, bene 好 / 提示 benefit 好處"
benign,adj.,良性的、無害的,of a mild type or character that does not threaten health or life especially : not becoming cancerous; kindly; gentle,a benign lung tumor 良性肺腫瘤,,,,5,5,"Mason 2000 PDF page 10 / 字根 ben, bene 好 / 提示 benefit 好處"
benevolent,adj.,善心的、仁心的,"being, or wishing to be, kind, friendly and helpful",a benevolent donor 善心的捐助者,,,,3,3,"Mason 2000 PDF page 10 / 字根 ben, bene 好 / 提示 benefit 好處"
ballistics,,彈道學、發射學,,,,,"Greek ballistes, from ballein ""to throw""",5,2,Mason 2000 PDF page 10 / 字根 bell 戰鬥、戰爭 / 提示 rebellious 反抗的、難控制的
bellicose,adj.,好戰的、好鬥的,eager to fight; warlike; aggressive,Russian President Vladimir Putin said his nation has nuclear weapons with unlimited range that can bypass any missile defense system. His address was bellicose enough to draw a rebuke (痛斥；非難) from the White House and renew fears of a Cold War-style arms race. - latimes,aggressive;belligerent;pugnacious;truculent,,,2,2,Mason 2000 PDF page 10 / 字根 bell 戰鬥、戰爭 / 提示 rebellious 反抗的、難控制的
belligerent,adj.,發動戰爭的、好鬥的、好挑釁的,"inclined to or exhibiting assertiveness, hostility, or combativeness; waging war; engaged in a conflict","But ever since that meeting, up to this past week, the North Koreans became much more belligerent in their tone. — NBC News",,,,2,2,Mason 2000 PDF page 10 / 字根 bell 戰鬥、戰爭 / 提示 rebellious 反抗的、難控制的
hyperbole,n.,誇張（法）,"exaggerated statement that is made for special effect and is not meant to be taken literally, eg I've invited millions of people to my party.","""Im so hungry I could eat a whole elephant"" is a common example of hyperbole",,,,4,4,Mason 2000 PDF page 10 / 字根 bell 戰鬥、戰爭 / 提示 rebellious 反抗的、難控制的
rebellious,adj.,反抗的、難控制的,showing a desire to rebel; not easily controlled,,,,,2,2,Mason 2000 PDF page 11 / 字根 bell 戰鬥、戰爭 / 提示 rebellious 反抗的、難控制的
embellish,v.,美化、裝飾,"sth make sth beautiful by adding ornaments, etc",a book embellished with illustrations 用很多圖示、插圖所裝飾的書,,,,4,4,Mason 2000 PDF page 11 / 字根 bell 美麗的 / 提示 belle 美女
imbibe,v.,飲、喝,"drink (sth, esp alcohol)",,,,,1,1,Mason 2000 PDF page 11 / 字根 bib 喝 / 提示 bibber 酒鬼、貪酒的人
bibliomania,,藏書癖,,,,,,5,2,Mason 2000 PDF page 11 / 字根 biblio 書 / 提示 bibliography 文獻學、參考書目
bibliography,n.,文獻學、參考書目,list of books or articles about a particular subject or by a particular author,,,,,5,2,Mason 2000 PDF page 11 / 字根 biblio 書 / 提示 bibliography 文獻學、參考書目
forbid,v.,禁止,order (sb) not to do sth,,,,,1,1,Mason 2000 PDF page 11 / 字根 bid 命令 / 提示 forbid 禁止
forbidding,adj.,可怕的（外貌）,looking unfriendly; stern; threatening,"Notwithstanding its forbidding appearance, it is considered as an edible fish. 儘管看起來可怕，這是可以吃的魚",,,,2,2,Mason 2000 PDF page 11 / 字根 bid 命令 / 提示 forbid 禁止
blemish,n.,玷污、缺點,mark or stain that spoils the beauty or perfection of sb/sth,Uber stock's plunge is a blemish on IPO market. Uber股價急劇下墜是首次公開發行市場的污點,,,,1,1,Mason 2000 PDF page 11 / 字根 blanc 白色 / 提示 blank 空白的、空的
blithe,adj.,無憂的、快樂的,"lacking due thought or consideration : CASUAL, HEEDLESS; of a happy lighthearted character or disposition",arrived late in his usual blithe way 他一如往常地無憂快樂地遲到了,,,,3,3,"Mason 2000 PDF page 11 / 字根 blis: happiness, grace 幸福、恩典 / 提示 bless 上帝祝福、神賜福"
bombastic,,誇誇其談的,exaggerated importance by artificial or empty means,a bombastic speech 誇大其辭的演說,pompous,,,3,3,Mason 2000 PDF page 11 / 字根 bomb 炸彈 / 提示 bomb 炸彈
boon,n.,好處、利益、恩惠,request or favour (used esp with the vs shown),Presidential endorsements 來自總統的背書 can be a great boon to political candidates who are competing in a place where the commander-in-chief is popular and who perhaps need a little boost to get over the finish line.,benediction;benefit,,,1,1,Mason 2000 PDF page 11 / 字根 bon 好 / 提示 bon voyage 一路順風
bounteous,adj.,慷慨的、豐富的,(of a person) generous,nature's bounty 大自然的慷慨贈與 offered a bounteous reward for finding the lost ring 為找到丟失的戒指提供慷慨的報酬,,,,3,3,Mason 2000 PDF page 11 / 字根 bon 好 / 提示 bon voyage 一路順風
abbreviate,v.,縮寫,"sth shorten (a word, phrase, etc), esp by omitting letters",,,,,1,1,Mason 2000 PDF page 11 / 字根 brev 短 / 提示 abbreviate 縮寫
brevity,n.,簡潔、簡練,shortness or briefness,,,,,2,2,Mason 2000 PDF page 11 / 字根 brev 短 / 提示 abbreviate 縮寫
debrief,v.,聽取匯報、向…詢問情況,"question (a soldier, an astronaut, a diplomat, etc) esp about a mission that he has just completed",,,,,1,1,Mason 2000 PDF page 11 / 字根 brev 短 / 提示 abbreviate 縮寫
blockbuster,,巨型炸彈、一鳴驚人的事物,a large bomb used to demolish extensive areas,,,,,2,1,Mason 2000 PDF page 11 / 字根 bust 爆炸 / 提示 blockbuster 巨型炸彈、一鳴驚人的事物
bust,n.,使爆裂、使爆發,"sculpture of a person's head, shoulders and chest",,,,,5,2,Mason 2000 PDF page 11 / 字根 bust 爆炸 / 提示 blockbuster 巨型炸彈、一鳴驚人的事物
combustible,adj.,易燃的、易激動的,that can catch fire and burn easily,,,,,5,2,Mason 2000 PDF page 11 / 字根 bust 爆炸 / 提示 blockbuster 巨型炸彈、一鳴驚人的事物
cadaver,n.,屍體,dead body of a person; corpse ;,,,,生命結束倒下→屍體,5,2,"Mason 2000 PDF page 12 / 字根 cad, cid, cas 落下 / 提示 accidental 偶然發生的"
cascade,n.,小瀑布（水的落下）,"waterfall, esp one of a series forming a large waterfall",,,,,1,1,"Mason 2000 PDF page 12 / 字根 cad, cid, cas 落下 / 提示 accidental 偶然發生的"
casualty,n.,傷亡人員、傷亡者,person who is killed or injured in war or in an accident,,,,,1,1,"Mason 2000 PDF page 12 / 字根 cad, cid, cas 落下 / 提示 accidental 偶然發生的"
coincide,v.,巧合、一致；同時發生,(of events) occur at the same time or occupy the same period of time as sth else,"The meeting coincided with her business trip, so she couldn't attend. 會議剛好在她出差的時候，所以她無法參加。",,,co(共同) + in + cide(落下),2,2,"Mason 2000 PDF page 12 / 字根 cad, cid, cas 落下 / 提示 accidental 偶然發生的"
decadence,n.,衰落、頹廢,"(falling to a) lower level (in morals, art, literature, etc) esp after a period at a high level",,,,落到下面,1,1,"Mason 2000 PDF page 12 / 字根 cad, cid, cas 落下 / 提示 accidental 偶然發生的"
occidental,adj.,西方的,western,,,,太陽落下的地方,1,1,"Mason 2000 PDF page 12 / 字根 cad, cid, cas 落下 / 提示 accidental 偶然發生的"
nonchalant,adj.,無憂無慮的、漠不關心的,not feeling or showing interest or enthusiasm; calm and casual,"Wen Beyoncé floating stage malfunctioned, Beyoncé remained nonchalant, blowing kisses to the fans below. 舞台故障時， Beyoncé仍然毫不在意，持續對觀眾給予飛吻",,,,2,2,"Mason 2000 PDF page 12 / 字根 cal, chal 熱 / 提示 calorie 卡路里"
scald,v.,燙、用熱水消毒,burn with boiling liquid or steam,,,,,5,2,"Mason 2000 PDF page 12 / 字根 cal, chal 熱 / 提示 calorie 卡路里"
scalding,adj.,滾燙的,hot enough to scald,a scalding bath of hot water; a scalding hot bath,,,,5,2,"Mason 2000 PDF page 12 / 字根 cal, chal 熱 / 提示 calorie 卡路里"
calculate,v.,計算,work out by using numbers or one's judgement; estimate,,,,以石頭算數,1,1,Mason 2000 PDF page 12 / 字根 calc 石灰、石頭 / 提示 calcium 鈣
callous,adj.,無情的、硬結的,cruelly insensitive or unsympathetic,His callous comments about the murder made me shiver. 他對謀殺的冷漠無情的評論使得我打顫,cold-blooded;inhumane;merciless;ruthless;unsympathetic,,,4,4,Mason 2000 PDF page 12 / 字根 calc 石灰、石頭 / 提示 calcium 鈣
callus,n.,老繭,area of thick hardened skin,,,,,5,2,Mason 2000 PDF page 12 / 字根 calc 石灰、石頭 / 提示 calcium 鈣
recalcitrant,adj.,頑抗的、難以控制的,resisting authority or discipline; disobedient,I am puzzled as to why the Ministry of Labor does not take more stringent action against recalcitrant employers. 我相當困惑為什 麼勞工部不對頑抗的雇主採取更加嚴格嚴厲的行動,unruly;intransigent;refractory,docile;tractable,像石頭一樣堅硬的,3,3,Mason 2000 PDF page 12 / 字根 calc 石灰、石頭 / 提示 calcium 鈣
candid,adj.,率直的,not hiding one's thoughts; frank and honest,a candid discussion 率直坦白的討論,,,,5,5,"Mason 2000 PDF page 12 / 字根 cand, cend 白色、發光 / 提示 candle 蠟燭"
incendiary,adj.,放火的、縱火的 燃燒彈、縱火犯,"designed to set buildings, etc on fire",,,,(玩一次CS:GO就會了),1,1,"Mason 2000 PDF page 12 / 字根 cand, cend 白色、發光 / 提示 candle 蠟燭"
incense,n.,香 激怒,"substance that produces a pleasant smell when burnt, used esp in religious ceremonies",,,,in(使) + cense(發光) → 激怒,1,1,"Mason 2000 PDF page 12 / 字根 cand, cend 白色、發光 / 提示 candle 蠟燭"
accentuate,v.,強調、以重音讀出、加重音符號於,make very noticeable or prominent; emphasize,accentuate the positive aspects of the course 強調這門課正面的層面,,,ac(加強) + cent(唱、說),4,4,"Mason 2000 PDF page 12 / 字根 cant, cent, chant 唱、歌唱 / 提示 chant 歌唱、背誦"
cantankerous,adj.,愛唱反調的、脾氣壞的,bad-tempered; quarrelsome,a cantankerous old man(壞脾氣的老人),contentious;malicious;irascible,,,1,1,"Mason 2000 PDF page 13 / 字根 cant, cent, chant 唱、歌唱 / 提示 chant 歌唱、背誦"
chant,n.,歌唱、背誦,simple tune to which psalms or canticles are fitted by singing several syllables or words to the same note,,,,,2,1,"Mason 2000 PDF page 13 / 字根 cant, cent, chant 唱、歌唱 / 提示 chant 歌唱、背誦"
chantey,,船歌,a ramshackle hut; crude dwelling,,,,,1,1,"Mason 2000 PDF page 13 / 字根 cant, cent, chant 唱、歌唱 / 提示 chant 歌唱、背誦"
incentive,n.,刺激、鼓勵,thing that encourages sb to do sth; stimulus,,,,in(使) + cent(唱) → 使人唱,1,1,"Mason 2000 PDF page 13 / 字根 cant, cent, chant 唱、歌唱 / 提示 chant 歌唱、背誦"
recant,v.,改變、放棄（信仰或聲明）n. recantation,"formally reject (a former opinion, belief, etc) as being wrong",,,,,1,1,"Mason 2000 PDF page 13 / 字根 cant, cent, chant 唱、歌唱 / 提示 chant 歌唱、背誦"
capitulate,v.,（有條件）投降,"surrender (to sb), esp on agreed conditions","In total, Trump has threatened tariffs on up to $450 billion of Chinese products if Beijing refuses to capitulate. — New York Times",,,,2,2,Mason 2000 PDF page 13 / 字根 cap 頭 / 提示 capital 首都
recapitulate,v.,扼要重述、概括,state again or summarize the main points of,"To recapitulate what was said earlier, we need to develop new ways to gain new customers. 總結前面所說的，我們需要去開發 新的方式去贏得新客人",abstract;epitomize,,重新把重要的東西（頭）敘述,4,4,Mason 2000 PDF page 13 / 字根 cap 頭 / 提示 capital 首都
capacious,adj.,容量大的、寬敞的,that can hold much; roomy,,,,能抓住東西的 → 容量大的,1,1,Mason 2000 PDF page 13 / 字根 cap 拿、抓住 / 提示 capture 捕獲、俘虜
capsule,n.,膠囊,seed-case of a plant that opens when the seeds are ripe,,,,,2,1,Mason 2000 PDF page 13 / 字根 cap 拿、抓住 / 提示 capture 捕獲、俘虜
caption,n.,標題、字幕、照片說明,"short title or heading of an article in a magazine, etc ,",,,,,1,1,Mason 2000 PDF page 13 / 字根 cap 拿、抓住 / 提示 capture 捕獲、俘虜
captious,adj.,吹毛求疵的,fond of criticizing or raising objections about unimportant matters; quibbling,captious critics 吹毛求疵的批評家,carping,,cap(抓住) + tious(多...的) → 抓出別人很多的缺點 → 吹毛求疵的,4,4,Mason 2000 PDF page 13 / 字根 cap 拿、抓住 / 提示 capture 捕獲、俘虜
captivate,v.,迷惑、吸引,fascinate (sb); charm; enchant,,a. captivating 吸引人的,,,1,1,Mason 2000 PDF page 13 / 字根 cap 拿、抓住 / 提示 capture 捕獲、俘虜
encapsulate,v.,裝入膠囊；概括、摘要,sth (fml ) enclose sth (as if) in a capsule,the conclusion is encapsulated in one sentence,,,,2,2,Mason 2000 PDF page 13 / 字根 cap 拿、抓住 / 提示 capture 捕獲、俘虜
cardiac,,心臟的,,,,,,5,2,Mason 2000 PDF page 13 / 字根 card 心 / 提示 cardiac 心臟的
cardinal,adj.,最重要的（像心一樣的）,most important; chief; fundamental,,,,像心一樣的,5,2,Mason 2000 PDF page 13 / 字根 card 心 / 提示 cardiac 心臟的
cardiogram,,心電圖,,,,,,5,2,Mason 2000 PDF page 13 / 字根 card 心 / 提示 cardiac 心臟的
cardiologist,,心臟病專家,,,,,,5,2,Mason 2000 PDF page 13 / 字根 card 心 / 提示 cardiac 心臟的
carnage,n.,大屠殺、殘殺,killing of many people,,,,,5,2,"Mason 2000 PDF page 13 / 字根 carn, carr 肉、肉身 / 提示 carnival 嘉年華會"
carnival,n.,嘉年華會,"(period of) public festivities and merry-making occurring at a regular time of year, eg in Roman Catholic countries during the week before Lent",,,,,2,1,"Mason 2000 PDF page 13 / 字根 carn, carr 肉、肉身 / 提示 carnival 嘉年華會"
carnivorous,adj.,肉食動物,flesh-eating,,,,,5,2,"Mason 2000 PDF page 13 / 字根 carn, carr 肉、肉身 / 提示 carnival 嘉年華會"
carrion,n.,腐肉,dead and decaying flesh,,,,,5,2,"Mason 2000 PDF page 14 / 字根 carn, carr 肉、肉身 / 提示 carnival 嘉年華會"
incarcerate,v.,下獄、監禁,sb (fml ) put sb in prison,,,,,5,2,"Mason 2000 PDF page 14 / 字根 carn, carr 肉、肉身 / 提示 carnival 嘉年華會"
incarnate,adj.,具有肉體的、化身的,in the physical form of a human being,,,,,5,2,"Mason 2000 PDF page 14 / 字根 carn, carr 肉、肉身 / 提示 carnival 嘉年華會"
reincarnate,,使化身、投胎,incarnate anew ; having a new body,,,,,5,2,"Mason 2000 PDF page 14 / 字根 carn, carr 肉、肉身 / 提示 carnival 嘉年華會"
caustic,adj.,腐蝕性的；刻薄的,marked by incisive (尖銳的；鋒利的) sarcasm; that can burn or destroy things by chemical action,a caustic cousin 講話刻薄的,acerbic,,,2,2,Mason 2000 PDF page 14 / 字根 caus 燒 / 提示 holocaust 大屠殺、浩劫
holocaust,n.,大屠殺、浩劫,"large-scale destruction, esp by fire; great loss of human life",The Holocaust was the World War II genocide of the European Jews. - Wikipedia,,,holo(全部) + caust(燒),5,2,Mason 2000 PDF page 14 / 字根 caus 燒 / 提示 holocaust 大屠殺、浩劫
